#
#
# US Geological Survey
# retrieved: 2021-06-18 13:56:16 -04:00	(caas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# Warning: A site search criterion has been used for which the data may be unavailable.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
USGS	09211200	GREEN RIVER BELOW FONTENELLE RESERVOIR, WY	ST	42.0209722	-110.0498056	5	NAD83	 6378.13	0.1	NGVD29	14040103
USGS	09213500	BIG SANDY RIVER NEAR FARSON, WY	ST	42.3296	-109.5119	5	NAD83	 6794	  5	NAVD88	14040104
USGS	09215000	PACIFIC CREEK NEAR FARSON, WY	ST	42.1283333	-109.3254444	S	NAD83	 6660	 10	NGVD29	14040104
USGS	09217000	GREEN RIVER NEAR GREEN RIVER, WY	ST	41.51635366	-109.4490234	S	NAD83	 6060	 10	NGVD29	14040106
USGS	09218500	BLACKS FORK NEAR MILLBURNE, WY	ST	41.03161367	-110.5793324	S	NAD83	 8512.27	.01	NGVD29	14040107
USGS	09219200	Blacks Fork above Smiths Fork, near Lyman, WY	ST	41.39415	-110.2059583	5	NAD83	 6433	  5	NAVD88	14040107
USGS	09220000	EAST FORK OF SMITHS FORK NEAR ROBERTSON, WY	ST	41.0538611	-110.3986389	S	NAD83	 8470	 10	NGVD29	14040107
USGS	09222400	MUDDY CREEK NEAR HAMPTON, WY	ST	41.5380078	-110.2293209	U	NAD83	 6323	 10	NAVD88	14040108
USGS	09223000	HAMS FORK BELOW POLE CREEK, NEAR FRONTIER, WY	ST	42.11088889	-110.7094167	S	NAD83	 7455	 20	NGVD29	14040107
USGS	09224700	BLACKS FORK NEAR LITTLE AMERICA, WY	ST	41.54607224	-109.6934746	S	NAD83	 6127.66	0.1	NGVD29	14040107
USGS	09229500	HENRYS FORK NEAR MANILA, UT	ST	41.011	-109.6735	S	NAD83	 6060	 20	NGVD29	14040106
USGS	09257000	LITTLE SNAKE RIVER NEAR DIXON, WY	ST	41.02852778	-107.5488611	5	NAD83	 6340	  5	NAVD88	14050003
USGS	09258050	Muddy Creek above Olson Draw, near Dad, WY	ST	41.4783333	-107.6025	R	NAD83	 6835	 10	NGVD29	14050004
USGS	09258980	MUDDY CREEK BELOW YOUNG DRAW, NEAR BAGGS, WY	ST	41.06815856	-107.6315964	5	NAD83	 6270	 10	NGVD29	14050004
USGS	10016900	BEAR RIVER AT EVANSTON, WY	ST	41.2698611	-110.9636944	S	NAD83	 6730	 10	NGVD29	16010101
USGS	10020100	BEAR RIVER ABOVE RESERVOIR, NEAR WOODRUFF, UT	ST	41.4343899	-111.0176863	S	NAD83	 6455	 20	NGVD29	16010101
USGS	10020300	BEAR RIVER BELOW RESERVOIR, NEAR WOODRUFF, UT	ST	41.505501	-111.0146317	S	NAD83	 6400	 10	NGVD29	16010101
USGS	10028500	BEAR RIVER BELOW PIXLEY DAM, NEAR COKEVILLE, WY	ST	41.93882917	-110.9854662	S	NAD83	 6185.00	 10	NGVD29	16010102
USGS	10032000	SMITHS FORK NEAR BORDER, WY	ST	42.2932662	-110.8724064	F	NAD83	 6650	 10	NGVD29	16010102
USGS	10038000	BEAR RIVER BELOW SMITHS FORK, NR COKEVILLE, WY	ST	42.12604658	-110.9737986	S	NAD83	 6140	 10	NGVD29	16010102
USGS	13010065	SNAKE RIVER AB JACKSON LAKE AT FLAGG RANCH WY	ST	44.09888889	-110.6675	S	NAD83	 6801.61	.01	NGVD29	17040101
USGS	13011000	SNAKE RIVER NEAR MORAN, WY	ST	43.85855089	-110.586597	S	NAD83	 6727.84	.01	NGVD29	17040101
USGS	13011500	PACIFIC CREEK AT MORAN, WY	ST	43.85105315	-110.5171505	S	NAD83	 6720	 10	NGVD29	17040101
USGS	13011820	Blackrock Cr bl Split Rock Cr, nr Moran, WY	ST	43.8071111	-110.1787222	5	NAD83	 8582	 10	NAVD88	17040101
USGS	13011900	BUFFALO FORK AB LAVA CREEK NR MORAN WY	ST	43.83805556	-110.4408333	S	NAD83	 6772.78	.01	NGVD29	17040101
USGS	13012465	Leidy Creek at mouth, near Moran, WY	ST	43.7331083	-110.3145611	5	NAD83	 7958	 10	NAVD88	17040101
USGS	13012475	South Fork Spread Cr at mouth, nr Moran, WY	ST	43.7634833	-110.3237861	5	NAD83	 7779	 10	NAVD88	17040101
USGS	13012490	SPREAD CREEK AT DIVERSION DAM, NEAR MORAN, WY	ST	43.7727187	-110.4838156	S	NAD83	 7100	 20	NGVD29	17040101
USGS	13013650	SNAKE RIVER AT MOOSE, WY	ST	43.65405556	-110.7154722	5	NAD83	 6450	 10	NGVD29	17040101
USGS	13014300	GROS VENTRE R AB UPPER SLIDE LK, NR KELLY, WY	ST	43.5759722	-110.3109444	S	NAD83	 7295	 10	NAVD88	17040102
USGS	13014500	GROS VENTRE RIVER AT KELLY, WY	ST	43.62088889	-110.6230556	S	NAD83	 6750	 20	NGVD29	17040102
USGS	13015000	GROS VENTRE RIVER AT ZENITH, WY	ST	43.5572222	-110.7627778	1	NAD83	 6260	 10	NGVD29	17040102
USGS	13016305	GRANITE C AB GRANITE C SUPPLEMENTAL, NR MOOSE, WY	ST	43.60316667	-110.8058333	S	NAD83	 6400	 10	NGVD29	17040103
USGS	13016450	FISH CREEK AT WILSON, WY	ST	43.50076005	-110.8716	S	NAD83	 6144.98	 .2	NAVD88	17040103
USGS	13018250	Flat Creek above Cache Creek, at Jackson, WY	ST	43.4873833	-110.7632806	5	NAD83	 6208	  5	NAVD88	17040103
USGS	13018300	CACHE CREEK NEAR JACKSON, WY	ST	43.45215258	-110.7040913	S	NAD83	 6750	 10	NGVD29	17040103
USGS	13018350	FLAT CREEK BELOW CACHE CREEK, NEAR JACKSON, WY	ST	43.4583611	-110.7970278	1	NAD83	 6114.40	 .2	NAVD88	17040103
USGS	13018750	SNAKE RIVER BELOW FLAT CREEK, NEAR JACKSON, WY	ST	43.3722222	-110.7386111	S	NAD83	 5956	 20	NAVD88	17040103
USGS	13022500	SNAKE RIVER ABOVE RESERVOIR, NEAR ALPINE, WY	ST	43.1961111	-110.8894444	F	NAD83	 5717	 20	NAVD88	17040103
USGS	13023000	GREYS RIVER ABOVE RESERVOIR, NEAR ALPINE, WY	ST	43.14305556	-110.9769444	S	NAD83	 5729	 20	NGVD29	17040103
USGS	13025500	CROW CREEK NEAR FAIRVIEW, WY	ST	42.6749287	-111.0077044	U	NAD83	 6240	 10	NGVD29	17040105
USGS	13027500	SALT RIVER ABOVE RESERVOIR, NEAR ETNA, WY	ST	43.0797222	-111.0372222	S	NAD83	 5675.78	.01	NGVD29	17040105
